GeneID	Locus.ID	Accession	HCT-116 Z-score	HKE-3 Z-score	D Z-score
POLR2A	5430	NM_000937	9.78	2.5	7.28
ARSA	410	NM_000487	6.01	-0.14	6.15
CREBZF	58487	NM_021212	7.7	1.85	5.85
GATA2	2624	NM_032638	6.22	0.4	5.82
POLR2B	5431	NM_000938	5.76	0.34	5.42
MAP4K1	11184	NM_007181	6.44	1.04	5.4
PSMA2	5683	NM_002787	6.91	1.51	5.4
UBC	7316	NM_021009	8.98	3.59	5.39
KRAS	3845	NM_004985	6.01	0.79	5.22
NCOA4	8031	NM_005437	6.18	0.98	5.2
UBB	7314	NM_018955	8.96	3.83	5.13
CYP1B1	1545	NM_000104	7.33	2.24	5.09
POLR2G	5436	NM_002696	6.79	1.83	4.96
SURB7	9412	NM_004264	6.34	1.46	4.88
HSD3B2	3284	NM_000198	5.33	0.5	4.83
FOS	2353	NM_005252	4.9	0.18	4.72
HOXD11	3237	NM_021192	6.26	1.7	4.56
AKR1D1	6718	NM_005989	5.34	0.78	4.56
OR1J5	26740	XM_373313	6.33	1.78	4.55
PSMB6	5694	NM_002798	5.38	0.84	4.54
KCNJ6	3763	NM_002240	7.49	2.98	4.51
MMP7	4316	NM_002423	3.93	-0.55	4.48
PSMA1	5682	NM_002786	3.3	-1.12	4.42
ARHN	8153	NM_005440	5.62	1.21	4.41
CDC6	990	NM_001254	5.74	1.42	4.32
PLXNB1	5364	NM_002673	5.66	1.36	4.3
RENT1	5976	NM_002911	5.67	1.39	4.28
PEX11A	8800	NM_003847	5.51	1.25	4.26
AOX1	316	NM_001159	5.16	0.91	4.25
HOXC5	3222	NM_018953	5.24	1.01	4.23
TULP2	7288	NM_003323	5.16	0.94	4.22
LZTR1	8216	NM_006767	6.03	1.83	4.2
BMP1	649	NM_001199	2.85	-1.35	4.2
GALT	2592	NM_000155	4.85	0.66	4.19
ATP6V1B1	525	NM_001692	5.97	1.78	4.19
P11	8909	NM_006025	4.86	0.69	4.17
EFNB3	1949	NM_001406	4.84	0.69	4.15
ESR1	2099	NM_000125	6.1	1.96	4.14
RB1CC1	9821	NM_014781	7.31	3.17	4.14
RAP1A	5906	NM_002884	3.06	-1.06	4.12
PC	5091	NM_000920	5.15	1.07	4.08
